case_id;province;city;group;infection_case;confirmed;latitude;longitude
2000010;Gyeonggi-do;Seongnam-si;VERDADERO;Bundang Jesaeng Hospital;22;3,738,833;1,271,218
2000011;Gyeonggi-do;Anyang-si;VERDADERO;Anyang Gunpo Pastors Group;22;37,381,784;12,693,615
2000012;Gyeonggi-do;Suwon-si;VERDADERO;Lotte Confectionery logistics center;15;37,287,356;127,013,827
2000013;Gyeonggi-do;Anyang-si;VERDADERO;Lord Glory Church;17;37,403,722;126,954,939
2000014;Gyeonggi-do;Suwon-si;VERDADERO;Suwon Saeng Myeong Saem Church;10;372,376;1,270,517
2000015;Gyeonggi-do;from other city;VERDADERO;Korea Campus Crusade of Christ;7;-;-
2000016;Gyeonggi-do;from other city;VERDADERO;Geumcheon-gu rice milling machine manufacture;6;-;-
2000017;Gyeonggi-do;from other city;VERDADERO;Wangsung Church;6;-;-
2000018;Gyeonggi-do;from other city;VERDADERO;Seoul City Hall Station safety worker;5;-;-
2000019;Gyeonggi-do;Seongnam-si;VERDADERO;Seongnam neighbors gathering;5;-;-
2000020;Gyeonggi-do;-;FALSO;overseas inflow;305;-;-
2000021;Gyeonggi-do;-;FALSO;contact with patient;63;-;-
2000022;Gyeonggi-do;-;FALSO;etc;84;-;-
3000001;Gangwon-do;from other city;VERDADERO;Shincheonji Church;17;-;-
3000002;Gangwon-do;from other city;VERDADERO;Uijeongbu St. Mary’s Hospital;10;-;-
3000003;Gangwon-do;Wonju-si;VERDADERO;Wonju-si Apartments;4;37,342,762;127,983,815
3000004;Gangwon-do;from other city;VERDADERO;Richway;4;-;-
3000005;Gangwon-do;from other city;VERDADERO;Geumcheon-gu rice milling machine manufacture;4;-;-
3000006;Gangwon-do;-;FALSO;overseas inflow;16;-;-
3000007;Gangwon-do;-;FALSO;contact with patient;0;-;-
3000008;Gangwon-do;-;FALSO;etc;7;-;-
4000001;Chungcheongbuk-do;Goesan-gun;VERDADERO;Goesan-gun Jangyeon-myeon;11;3,682,422;1,279,552
4000002;Chungcheongbuk-do;from other city;VERDADERO;Itaewon Clubs;9;-;-
4000003;Chungcheongbuk-do;from other city;VERDADERO;Guro-gu Call Center;2;-;-
4000004;Chungcheongbuk-do;from other city;VERDADERO;Shincheonji Church;6;-;-
4000005;Chungcheongbuk-do;-;FALSO;overseas inflow;13;-;-
4000006;Chungcheongbuk-do;-;FALSO;contact with patient;8;-;-
4000007;Chungcheongbuk-do;-;FALSO;etc;11;-;-
4100001;Chungcheongnam-do;Cheonan-si;VERDADERO;gym facility in Cheonan;103;3,681,503;1,271,139
4100002;Chungcheongnam-do;from other city;VERDADERO;Door-to-door sales in Daejeon;10;-;-
4100003;Chungcheongnam-do;Seosan-si;VERDADERO;Seosan-si Laboratory;9;37,000,354;126,354,443
4100004;Chungcheongnam-do;from other city;VERDADERO;Richway;3;-;-
4100005;Chungcheongnam-do;from other city;VERDADERO;Eunpyeong-Boksagol culture center;3;-;-
4100006;Chungcheongnam-do;-;FALSO;overseas inflow;16;-;-
4100007;Chungcheongnam-do;-;FALSO;contact with patient;2;-;-
4100008;Chungcheongnam-do;-;FALSO;etc;12;-;-
5000001;Jeollabuk-do;from other city;VERDADERO;Itaewon Clubs;2;-;-
5000002;Jeollabuk-do;from other city;VERDADERO;Door-to-door sales in Daejeon;3;-;-
5000003;Jeollabuk-do;from other city;VERDADERO;Shincheonji Church;1;-;-
5000004;Jeollabuk-do;-;FALSO;overseas inflow;12;-;-
5000005;Jeollabuk-do;-;FALSO;etc;5;-;-
5100001;Jeollanam-do;Muan-gun;VERDADERO;Manmin Central Church;2;35,078,825;126,316,746
5100002;Jeollanam-do;from other city;VERDADERO;Shincheonji Church;1;-;-
5100003;Jeollanam-do;-;FALSO;overseas inflow;14;-;-
5100004;Jeollanam-do;-;FALSO;contact with patient;4;-;-
5100005;Jeollanam-do;-;FALSO;etc;4;-;-
6000001;Gyeongsangbuk-do;from other city;VERDADERO;Shincheonji Church;566;-;-
6000002;Gyeongsangbuk-do;Cheongdo-gun;VERDADERO;Cheongdo Daenam Hospital;119;3,564,887;1,287,368
6000003;Gyeongsangbuk-do;Bonghwa-gun;VERDADERO;Bonghwa Pureun Nursing Home;68;3,692,757;1,289,099
6000004;Gyeongsangbuk-do;Gyeongsan-si;VERDADERO;Gyeongsan Seorin Nursing Home;66;35,782,149;128,801,498
6000005;Gyeongsangbuk-do;from other city;VERDADERO;Pilgrimage to Israel;41;-;-
6000006;Gyeongsangbuk-do;Yechun-gun;VERDADERO;Yechun-gun;40;36,646,845;128,437,416
6000007;Gyeongsangbuk-do;Chilgok-gun;VERDADERO;Milal Shelter;36;360,581;1,284,941
6000008;Gyeongsangbuk-do;Gyeongsan-si;VERDADERO;Gyeongsan Jeil Silver Town;17;3,584,819;1,287,621
6000009;Gyeongsangbuk-do;Gyeongsan-si;VERDADERO;Gyeongsan Cham Joeun Community Center;16;3,582,558;1,287,373
6000010;Gyeongsangbuk-do;Gumi-si;VERDADERO;Gumi Elim Church;10;-;-
6000011;Gyeongsangbuk-do;-;FALSO;overseas inflow;22;-;-
6000012;Gyeongsangbuk-do;-;FALSO;contact with patient;190;-;-
6000013;Gyeongsangbuk-do;-;FALSO;etc;133;-;-
6100001;Gyeongsangnam-do;from other city;VERDADERO;Shincheonji Church;32;-;-
6100002;Gyeongsangnam-do;Geochang-gun;VERDADERO;Geochang Church;10;3,568,556;1,279,127
6100003;Gyeongsangnam-do;Jinju-si;VERDADERO;Wings Tower;9;35,164,845;128,126,969
6100004;Gyeongsangnam-do;Geochang-gun;VERDADERO;Geochang-gun Woongyang-myeon;8;35,805,681;127,917,805
6100005;Gyeongsangnam-do;Changwon-si;VERDADERO;Hanmaeum Changwon Hospital;7;3,522,115;1,286,866
6100006;Gyeongsangnam-do;Changnyeong-gun;VERDADERO;Changnyeong Coin Karaoke;7;3,554,127;1,285,008
6100007;Gyeongsangnam-do;Yangsan-si;VERDADERO;Soso Seowon;3;35,338,811;129,017,508
6100008;Gyeongsangnam-do;from other city;VERDADERO;Itaewon Clubs;2;-;-
6100009;Gyeongsangnam-do;from other city;VERDADERO;Onchun Church;2;-;-
6100010;Gyeongsangnam-do;-;FALSO;overseas inflow;26;-;-
6100011;Gyeongsangnam-do;-;FALSO;contact with patient;6;-;-
6100012;Gyeongsangnam-do;-;FALSO;etc;20;-;-
7000001;Jeju-do;-;FALSO;overseas inflow;14;-;-
7000002;Jeju-do;-;FALSO;contact with patient;0;-;-
7000003;Jeju-do;-;FALSO;etc;4;-;-
7000004;Jeju-do;from other city;VERDADERO;Itaewon Clubs;1;-;-
